"GRANTEE"	"PRIVILEGE"	"ADMIN_OPTION"	"COMMON"	"INHERITED"
"C##TEST123"	"CREATE ANY TABLE"	"NO"	"NO"	"NO"
"C##TEST123"	"UNLIMITED TABLESPACE"	"NO"	"NO"	"NO"
"SYS"	"ALTER ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY HIERARCHY"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY HIERARCHY"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"CREATE ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"LOGMINING"	"NO"	"YES"	"NO"
"DBA"	"LOGMINING"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CREDENTIAL"	"NO"	"YES"	"NO"
"DBA"	"CREATE CREDENTIAL"	"NO"	"YES"	"NO"
"SYS"	"DROP LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"DBA"	"DROP LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"DBA"	"CREATE LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"SYS"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"MDSYS"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"SYSKM"	"ADMINISTER KEY MANAGEMENT"	"YES"	"YES"	"NO"
"DBA"	"CREATE ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"DBA"	"CREATE SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER DATABASE LINK"	"YES"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"DBA"	"CREATE CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY CUBE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY CUBE"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE CUBE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY MINING MODEL"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY ASSEMBLY"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE EXTERNAL JOB"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"READ ANY FILE GROUP"	"NO"	"YES"	"NO"
"SYS"	"MANAGE ANY FILE GROUP"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY SQL PROFILE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY SQL PROFILE"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY TRANSACTION"	"NO"	"YES"	"NO"
"SYSBACKUP"	"SELECT ANY TRANSACTION"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"MANAGE SCHEDULER"	"YES"	"YES"	"NO"
"EM_EXPRESS_ALL"	"CREATE JOB"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE JOB"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY RULE"	"YES"	"YES"	"NO"
"SYS"	"CREATE RULE"	"YES"	"YES"	"NO"
"SYS"	"EXECUTE ANY RULE SET"	"YES"	"YES"	"NO"
"SYS"	"CREATE ANY RULE SET"	"YES"	"YES"	"NO"
"SYS"	"DEBUG CONNECT SESSION"	"NO"	"YES"	"NO"
"JAVADEBUGPRIV"	"DEBUG CONNECT SESSION"	"NO"	"YES"	"NO"
"GGSYS"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"SYS"	"ON COMMIT REFRESH"	"NO"	"YES"	"NO"
"DBA"	"ON COMMIT REFRESH"	"NO"	"YES"	"NO"
"WMSYS"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY OUTLINE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CONTEXT"	"NO"	"YES"	"NO"
"DBA"	"UNDER ANY VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE OPERATOR"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE TYPE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"DBA"	"DROP PROFILE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"DROP PROFILE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY SEQUENCE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY SEQUENCE"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY VIEW"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE VIEW"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY CLUSTER"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CLUSTER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"INSERT ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"LOCK ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"GGSYS"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"AUDSYS"	"CREATE TABLE"	"NO"	"YES"	"NO"
"SYSTEM"	"CREATE TABLE"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE TABLE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"SYS"	"ALTER USER"	"NO"	"YES"	"NO"
"DBA"	"ALTER USER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER USER"	"NO"	"YES"	"NO"
"SYSBACKUP"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"CREATE TABLESPACE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE TABLESPACE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"CREATE TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"ALTER SESSION"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DATAPUMP_EXP_FULL_DATABASE"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DBA"	"DROP LOGICAL PARTITION TRACKING"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"CREATE LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"SET CONTAINER"	"NO"	"YES"	"NO"
"DBA"	"CREATE PLUGGABLE DATABASE"	"NO"	"YES"	"NO"
"CTXSYS"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"SYS"	"FLASHBACK ARCHIVE ADMINISTER"	"NO"	"YES"	"NO"
"DBA"	"FLASHBACK ARCHIVE ADMINISTER"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"DBA"	"UPDATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
